group,item,sentence,question,left_answer,right_answer,correct_answer,sentence_voice,question_voice,verb_type,verb,s_voice_log_odds,q_voice_log_odds,se_log_odds
A,1,That's the actor that the director particularly appreciates.,Who is appreciated?,the actor,the director,the actor,active,passive,subjexp,appreciate,3.09453285829808,-3.09453285829808,0.417310589722415
B,1,That's the actor that the director particularly bothers.,Who is bothered?,the actor,the director,the actor,active,passive,objexp,bother,2.89540955192612,-2.89540955192612,0.459255976686295
C,1,That's the actor that the director particularly appreciates.,Who appreciates someone?,the director,the actor,the director,active,active,subjexp,appreciate,3.09453285829808,3.09453285829808,0.417310589722415
D,1,That's the actor that the director particularly bothers.,Who bothers someone?,the director,the actor,the director,active,active,objexp,bother,2.89540955192612,2.89540955192612,0.459255976686295
E,1,That's the director that the actor is particularly appreciated by.,Who is appreciated?,the actor,the director,the actor,passive,passive,subjexp,appreciate,-3.09453285829808,-3.09453285829808,0.417310589722415
F,1,That's the director that the actor is particularly bothered by.,Who is bothered?,the actor,the director,the actor,passive,passive,objexp,bother,-2.89540955192612,-2.89540955192612,0.459255976686295
G,1,That's the director that the actor is particularly appreciated by.,Who appreciates someone?,the director,the actor,the director,passive,active,subjexp,appreciate,-3.09453285829808,3.09453285829808,0.417310589722415
H,1,That's the director that the actor is particularly bothered by.,Who bothers someone?,the director,the actor,the director,passive,active,objexp,bother,-2.89540955192612,2.89540955192612,0.459255976686295
I,1,That's the actor that the director particularly appreciates.,Who is appreciated?,the director,the actor,the actor,active,passive,subjexp,appreciate,3.09453285829808,-3.09453285829808,0.417310589722415
J,1,That's the actor that the director particularly bothers.,Who is bothered?,the director,the actor,the actor,active,passive,objexp,bother,2.89540955192612,-2.89540955192612,0.459255976686295
K,1,That's the actor that the director particularly appreciates.,Who appreciates someone?,the actor,the director,the director,active,active,subjexp,appreciate,3.09453285829808,3.09453285829808,0.417310589722415
L,1,That's the actor that the director particularly bothers.,Who bothers someone?,the actor,the director,the director,active,active,objexp,bother,2.89540955192612,2.89540955192612,0.459255976686295
M,1,That's the director that the actor is particularly appreciated by.,Who is appreciated?,the director,the actor,the actor,passive,passive,subjexp,appreciate,-3.09453285829808,-3.09453285829808,0.417310589722415
N,1,That's the director that the actor is particularly bothered by.,Who is bothered?,the director,the actor,the actor,passive,passive,objexp,bother,-2.89540955192612,-2.89540955192612,0.459255976686295
O,1,That's the director that the actor is particularly appreciated by.,Who appreciates someone?,the actor,the director,the director,passive,active,subjexp,appreciate,-3.09453285829808,3.09453285829808,0.417310589722415
P,1,That's the director that the actor is particularly bothered by.,Who bothers someone?,the actor,the director,the director,passive,active,objexp,bother,-2.89540955192612,2.89540955192612,0.459255976686295
A,2,That's the tourist that the park&nbsp;ranger is particularly bothered by.,Who bothers someone?,the park&nbsp;ranger,the tourist,the tourist,passive,active,objexp,bother,-2.89540955192612,2.89540955192612,0.459255976686295
B,2,That's the tourist that the park&nbsp;ranger is particularly appreciated by.,Who appreciates someone?,the park&nbsp;ranger,the tourist,the tourist,passive,active,subjexp,appreciate,-3.09453285829808,3.09453285829808,0.417310589722415
C,2,That's the tourist that the park&nbsp;ranger is particularly bothered by.,Who is bothered?,the tourist,the park&nbsp;ranger,the park&nbsp;ranger,passive,passive,objexp,bother,-2.89540955192612,-2.89540955192612,0.459255976686295
D,2,That's the tourist that the park&nbsp;ranger is particularly appreciated by.,Who is appreciated?,the tourist,the park&nbsp;ranger,the park&nbsp;ranger,passive,passive,subjexp,appreciate,-3.09453285829808,-3.09453285829808,0.417310589722415
E,2,That's the park&nbsp;ranger that the tourist particularly bothers.,Who bothers someone?,the park&nbsp;ranger,the tourist,the tourist,active,active,objexp,bother,2.89540955192612,2.89540955192612,0.459255976686295
F,2,That's the park&nbsp;ranger that the tourist particularly appreciates.,Who appreciates someone?,the park&nbsp;ranger,the tourist,the tourist,active,active,subjexp,appreciate,3.09453285829808,3.09453285829808,0.417310589722415
G,2,That's the park&nbsp;ranger that the tourist particularly bothers.,Who is bothered?,the tourist,the park&nbsp;ranger,the park&nbsp;ranger,active,passive,objexp,bother,2.89540955192612,-2.89540955192612,0.459255976686295
H,2,That's the park&nbsp;ranger that the tourist particularly appreciates.,Who is appreciated?,the tourist,the park&nbsp;ranger,the park&nbsp;ranger,active,passive,subjexp,appreciate,3.09453285829808,-3.09453285829808,0.417310589722415
I,2,That's the tourist that the park&nbsp;ranger is particularly bothered by.,Who bothers someone?,the tourist,the park&nbsp;ranger,the tourist,passive,active,objexp,bother,-2.89540955192612,2.89540955192612,0.459255976686295
J,2,That's the tourist that the park&nbsp;ranger is particularly appreciated by.,Who appreciates someone?,the tourist,the park&nbsp;ranger,the tourist,passive,active,subjexp,appreciate,-3.09453285829808,3.09453285829808,0.417310589722415
K,2,That's the tourist that the park&nbsp;ranger is particularly bothered by.,Who is bothered?,the park&nbsp;ranger,the tourist,the park&nbsp;ranger,passive,passive,objexp,bother,-2.89540955192612,-2.89540955192612,0.459255976686295
L,2,That's the tourist that the park&nbsp;ranger is particularly appreciated by.,Who is appreciated?,the park&nbsp;ranger,the tourist,the park&nbsp;ranger,passive,passive,subjexp,appreciate,-3.09453285829808,-3.09453285829808,0.417310589722415
M,2,That's the park&nbsp;ranger that the tourist particularly bothers.,Who bothers someone?,the tourist,the park&nbsp;ranger,the tourist,active,active,objexp,bother,2.89540955192612,2.89540955192612,0.459255976686295
N,2,That's the park&nbsp;ranger that the tourist particularly appreciates.,Who appreciates someone?,the tourist,the park&nbsp;ranger,the tourist,active,active,subjexp,appreciate,3.09453285829808,3.09453285829808,0.417310589722415
O,2,That's the park&nbsp;ranger that the tourist particularly bothers.,Who is bothered?,the park&nbsp;ranger,the tourist,the park&nbsp;ranger,active,passive,objexp,bother,2.89540955192612,-2.89540955192612,0.459255976686295
P,2,That's the park&nbsp;ranger that the tourist particularly appreciates.,Who is appreciated?,the park&nbsp;ranger,the tourist,the park&nbsp;ranger,active,passive,subjexp,appreciate,3.09453285829808,-3.09453285829808,0.417310589722415
A,3,That's the student that the professor somewhat admires.,Who admires someone?,the professor,the student,the professor,active,active,subjexp,admire,3.26158694296125,3.26158694296125,0.449677263962846
B,3,That's the student that the professor somewhat frightens.,Who frightens someone?,the professor,the student,the professor,active,active,objexp,frighten,0.0889474860164961,0.0889474860164961,0.210957550106479
C,3,That's the professor that the student is somewhat admired by.,Who is admired?,the student,the professor,the student,passive,passive,subjexp,admire,-3.26158694296125,-3.26158694296125,0.449677263962846
D,3,That's the professor that the student is somewhat frightened by.,Who is frightened?,the student,the professor,the student,passive,passive,objexp,frighten,-0.0889474860164961,-0.0889474860164961,0.210957550106479
E,3,That's the professor that the student is somewhat admired by.,Who admires someone?,the professor,the student,the professor,passive,active,subjexp,admire,-3.26158694296125,3.26158694296125,0.449677263962846
F,3,That's the professor that the student is somewhat frightened by.,Who frightens someone?,the professor,the student,the professor,passive,active,objexp,frighten,-0.0889474860164961,0.0889474860164961,0.210957550106479
G,3,That's the student that the professor somewhat admires.,Who is admired?,the professor,the student,the student,active,passive,subjexp,admire,3.26158694296125,-3.26158694296125,0.449677263962846
H,3,That's the student that the professor somewhat frightens.,Who is frightened?,the professor,the student,the student,active,passive,objexp,frighten,0.0889474860164961,-0.0889474860164961,0.210957550106479
I,3,That's the student that the professor somewhat admires.,Who admires someone?,the student,the professor,the professor,active,active,subjexp,admire,3.26158694296125,3.26158694296125,0.449677263962846
J,3,That's the student that the professor somewhat frightens.,Who frightens someone?,the student,the professor,the professor,active,active,objexp,frighten,0.0889474860164961,0.0889474860164961,0.210957550106479
K,3,That's the professor that the student is somewhat admired by.,Who is admired?,the professor,the student,the student,passive,passive,subjexp,admire,-3.26158694296125,-3.26158694296125,0.449677263962846
L,3,That's the professor that the student is somewhat frightened by.,Who is frightened?,the professor,the student,the student,passive,passive,objexp,frighten,-0.0889474860164961,-0.0889474860164961,0.210957550106479
M,3,That's the professor that the student is somewhat admired by.,Who admires someone?,the student,the professor,the professor,passive,active,subjexp,admire,-3.26158694296125,3.26158694296125,0.449677263962846
N,3,That's the professor that the student is somewhat frightened by.,Who frightens someone?,the student,the professor,the professor,passive,active,objexp,frighten,-0.0889474860164961,0.0889474860164961,0.210957550106479
O,3,That's the student that the professor somewhat admires.,Who is admired?,the student,the professor,the student,active,passive,subjexp,admire,3.26158694296125,-3.26158694296125,0.449677263962846
P,3,That's the student that the professor somewhat frightens.,Who is frightened?,the student,the professor,the student,active,passive,objexp,frighten,0.0889474860164961,-0.0889474860164961,0.210957550106479
A,4,That's the coach that the player is somewhat frightened by.,Who is frightened?,the coach,the player,the player,passive,passive,objexp,frighten,-0.0889474860164961,-0.0889474860164961,0.210957550106479
B,4,That's the coach that the player is somewhat admired by.,Who is admired?,the coach,the player,the player,passive,passive,subjexp,admire,-3.26158694296125,-3.26158694296125,0.449677263962846
C,4,That's the player that the coach somewhat frightens.,Who frightens someone?,the player,the coach,the coach,active,active,objexp,frighten,0.0889474860164961,0.0889474860164961,0.210957550106479
D,4,That's the player that the coach somewhat admires.,Who admires someone?,the player,the coach,the coach,active,active,subjexp,admire,3.26158694296125,3.26158694296125,0.449677263962846
E,4,That's the player that the coach somewhat frightens.,Who is frightened?,the coach,the player,the player,active,passive,objexp,frighten,0.0889474860164961,-0.0889474860164961,0.210957550106479
F,4,That's the player that the coach somewhat admires.,Who is admired?,the coach,the player,the player,active,passive,subjexp,admire,3.26158694296125,-3.26158694296125,0.449677263962846
G,4,That's the coach that the player is somewhat frightened by.,Who frightens someone?,the coach,the player,the coach,passive,active,objexp,frighten,-0.0889474860164961,0.0889474860164961,0.210957550106479
H,4,That's the coach that the player is somewhat admired by.,Who admires someone?,the coach,the player,the coach,passive,active,subjexp,admire,-3.26158694296125,3.26158694296125,0.449677263962846
I,4,That's the coach that the player is somewhat frightened by.,Who is frightened?,the player,the coach,the player,passive,passive,objexp,frighten,-0.0889474860164961,-0.0889474860164961,0.210957550106479
J,4,That's the coach that the player is somewhat admired by.,Who is admired?,the player,the coach,the player,passive,passive,subjexp,admire,-3.26158694296125,-3.26158694296125,0.449677263962846
K,4,That's the player that the coach somewhat frightens.,Who frightens someone?,the coach,the player,the coach,active,active,objexp,frighten,0.0889474860164961,0.0889474860164961,0.210957550106479
L,4,That's the player that the coach somewhat admires.,Who admires someone?,the coach,the player,the coach,active,active,subjexp,admire,3.26158694296125,3.26158694296125,0.449677263962846
M,4,That's the player that the coach somewhat frightens.,Who is frightened?,the player,the coach,the player,active,passive,objexp,frighten,0.0889474860164961,-0.0889474860164961,0.210957550106479
N,4,That's the player that the coach somewhat admires.,Who is admired?,the player,the coach,the player,active,passive,subjexp,admire,3.26158694296125,-3.26158694296125,0.449677263962846
O,4,That's the coach that the player is somewhat frightened by.,Who frightens someone?,the player,the coach,the coach,passive,active,objexp,frighten,-0.0889474860164961,0.0889474860164961,0.210957550106479
P,4,That's the coach that the player is somewhat admired by.,Who admires someone?,the player,the coach,the coach,passive,active,subjexp,admire,-3.26158694296125,3.26158694296125,0.449677263962846
A,5,That's the conductor that the musician is greatly adored by.,Who is adored?,the musician,the conductor,the musician,passive,passive,subjexp,adore,-2.89406861977749,-2.89406861977749,0.39331847289453
B,5,That's the conductor that the musician is greatly disappointed by.,Who is disappointed?,the musician,the conductor,the musician,passive,passive,objexp,disappoint,0.435318071257846,0.435318071257846,0.221691072215082
C,5,That's the conductor that the musician is greatly adored by.,Who adores someone?,the conductor,the musician,the conductor,passive,active,subjexp,adore,-2.89406861977749,2.89406861977749,0.39331847289453
D,5,That's the conductor that the musician is greatly disappointed by.,Who disappoints someone?,the conductor,the musician,the conductor,passive,active,objexp,disappoint,0.435318071257846,-0.435318071257846,0.221691072215082
E,5,That's the musician that the conductor greatly adores.,Who is adored?,the conductor,the musician,the musician,active,passive,subjexp,adore,2.89406861977749,-2.89406861977749,0.39331847289453
F,5,That's the musician that the conductor greatly disappoints.,Who is disappointed?,the conductor,the musician,the musician,active,passive,objexp,disappoint,-0.435318071257846,0.435318071257846,0.221691072215082
G,5,That's the musician that the conductor greatly adores.,Who adores someone?,the musician,the conductor,the conductor,active,active,subjexp,adore,2.89406861977749,2.89406861977749,0.39331847289453
H,5,That's the musician that the conductor greatly disappoints.,Who disappoints someone?,the musician,the conductor,the conductor,active,active,objexp,disappoint,-0.435318071257846,-0.435318071257846,0.221691072215082
I,5,That's the conductor that the musician is greatly adored by.,Who is adored?,the conductor,the musician,the musician,passive,passive,subjexp,adore,-2.89406861977749,-2.89406861977749,0.39331847289453
J,5,That's the conductor that the musician is greatly disappointed by.,Who is disappointed?,the conductor,the musician,the musician,passive,passive,objexp,disappoint,0.435318071257846,0.435318071257846,0.221691072215082
K,5,That's the conductor that the musician is greatly adored by.,Who adores someone?,the musician,the conductor,the conductor,passive,active,subjexp,adore,-2.89406861977749,2.89406861977749,0.39331847289453
L,5,That's the conductor that the musician is greatly disappointed by.,Who disappoints someone?,the musician,the conductor,the conductor,passive,active,objexp,disappoint,0.435318071257846,-0.435318071257846,0.221691072215082
M,5,That's the musician that the conductor greatly adores.,Who is adored?,the musician,the conductor,the musician,active,passive,subjexp,adore,2.89406861977749,-2.89406861977749,0.39331847289453
N,5,That's the musician that the conductor greatly disappoints.,Who is disappointed?,the musician,the conductor,the musician,active,passive,objexp,disappoint,-0.435318071257846,0.435318071257846,0.221691072215082
O,5,That's the musician that the conductor greatly adores.,Who adores someone?,the conductor,the musician,the conductor,active,active,subjexp,adore,2.89406861977749,2.89406861977749,0.39331847289453
P,5,That's the musician that the conductor greatly disappoints.,Who disappoints someone?,the conductor,the musician,the conductor,active,active,objexp,disappoint,-0.435318071257846,-0.435318071257846,0.221691072215082
A,6,That's the carpenter that the contractor greatly disappoints.,Who disappoints someone?,the carpenter,the contractor,the contractor,active,active,objexp,disappoint,-0.435318071257846,-0.435318071257846,0.221691072215082
B,6,That's the carpenter that the contractor greatly adores.,Who adores someone?,the carpenter,the contractor,the contractor,active,active,subjexp,adore,2.89406861977749,2.89406861977749,0.39331847289453
C,6,That's the carpenter that the contractor greatly disappoints.,Who is disappointed?,the contractor,the carpenter,the carpenter,active,passive,objexp,disappoint,-0.435318071257846,0.435318071257846,0.221691072215082
D,6,That's the carpenter that the contractor greatly adores.,Who is adored?,the contractor,the carpenter,the carpenter,active,passive,subjexp,adore,2.89406861977749,-2.89406861977749,0.39331847289453
E,6,That's the contractor that the carpenter is greatly disappointed by.,Who disappoints someone?,the contractor,the carpenter,the contractor,passive,active,objexp,disappoint,0.435318071257846,-0.435318071257846,0.221691072215082
F,6,That's the contractor that the carpenter is greatly adored by.,Who adores someone?,the contractor,the carpenter,the contractor,passive,active,subjexp,adore,-2.89406861977749,2.89406861977749,0.39331847289453
G,6,That's the contractor that the carpenter is greatly disappointed by.,Who is disappointed?,the carpenter,the contractor,the carpenter,passive,passive,objexp,disappoint,0.435318071257846,0.435318071257846,0.221691072215082
H,6,That's the contractor that the carpenter is greatly adored by.,Who is adored?,the carpenter,the contractor,the carpenter,passive,passive,subjexp,adore,-2.89406861977749,-2.89406861977749,0.39331847289453
I,6,That's the carpenter that the contractor greatly disappoints.,Who disappoints someone?,the contractor,the carpenter,the contractor,active,active,objexp,disappoint,-0.435318071257846,-0.435318071257846,0.221691072215082
J,6,That's the carpenter that the contractor greatly adores.,Who adores someone?,the contractor,the carpenter,the contractor,active,active,subjexp,adore,2.89406861977749,2.89406861977749,0.39331847289453
K,6,That's the carpenter that the contractor greatly disappoints.,Who is disappointed?,the carpenter,the contractor,the carpenter,active,passive,objexp,disappoint,-0.435318071257846,0.435318071257846,0.221691072215082
L,6,That's the carpenter that the contractor greatly adores.,Who is adored?,the carpenter,the contractor,the carpenter,active,passive,subjexp,adore,2.89406861977749,-2.89406861977749,0.39331847289453
M,6,That's the contractor that the carpenter is greatly disappointed by.,Who disappoints someone?,the carpenter,the contractor,the contractor,passive,active,objexp,disappoint,0.435318071257846,-0.435318071257846,0.221691072215082
N,6,That's the contractor that the carpenter is greatly adored by.,Who adores someone?,the carpenter,the contractor,the contractor,passive,active,subjexp,adore,-2.89406861977749,2.89406861977749,0.39331847289453
O,6,That's the contractor that the carpenter is greatly disappointed by.,Who is disappointed?,the contractor,the carpenter,the carpenter,passive,passive,objexp,disappoint,0.435318071257846,0.435318071257846,0.221691072215082
P,6,That's the contractor that the carpenter is greatly adored by.,Who is adored?,the contractor,the carpenter,the carpenter,passive,passive,subjexp,adore,-2.89406861977749,-2.89406861977749,0.39331847289453
A,7,That's the tailor that the greengrocer is really fancied by.,Who fancies someone?,the tailor,the greengrocer,the tailor,passive,active,subjexp,fancy,-3.89182029811063,3.89182029811063,1.4563022785571
B,7,That's the tailor that the greengrocer is really bored by.,Who bores someone?,the tailor,the greengrocer,the tailor,passive,active,objexp,bore,0.240279833557197,-0.240279833557197,0.256608581671832
C,7,That's the greengrocer that the tailor really fancies.,Who is fancied?,the tailor,the greengrocer,the greengrocer,active,passive,subjexp,fancy,3.89182029811063,-3.89182029811063,1.4563022785571
D,7,That's the greengrocer that the tailor really bores.,Who is bored?,the tailor,the greengrocer,the greengrocer,active,passive,objexp,bore,-0.240279833557197,0.240279833557197,0.256608581671832
E,7,That's the greengrocer that the tailor really fancies.,Who fancies someone?,the greengrocer,the tailor,the tailor,active,active,subjexp,fancy,3.89182029811063,3.89182029811063,1.4563022785571
F,7,That's the greengrocer that the tailor really bores.,Who bores someone?,the greengrocer,the tailor,the tailor,active,active,objexp,bore,-0.240279833557197,-0.240279833557197,0.256608581671832
G,7,That's the tailor that the greengrocer is really fancied by.,Who is fancied?,the tailor,the greengrocer,the greengrocer,passive,passive,subjexp,fancy,-3.89182029811063,-3.89182029811063,1.4563022785571
H,7,That's the tailor that the greengrocer is really bored by.,Who is bored?,the tailor,the greengrocer,the greengrocer,passive,passive,objexp,bore,0.240279833557197,0.240279833557197,0.256608581671832
I,7,That's the tailor that the greengrocer is really fancied by.,Who fancies someone?,the greengrocer,the tailor,the tailor,passive,active,subjexp,fancy,-3.89182029811063,3.89182029811063,1.4563022785571
J,7,That's the tailor that the greengrocer is really bored by.,Who bores someone?,the greengrocer,the tailor,the tailor,passive,active,objexp,bore,0.240279833557197,-0.240279833557197,0.256608581671832
K,7,That's the greengrocer that the tailor really fancies.,Who is fancied?,the greengrocer,the tailor,the greengrocer,active,passive,subjexp,fancy,3.89182029811063,-3.89182029811063,1.4563022785571
L,7,That's the greengrocer that the tailor really bores.,Who is bored?,the greengrocer,the tailor,the greengrocer,active,passive,objexp,bore,-0.240279833557197,0.240279833557197,0.256608581671832
M,7,That's the greengrocer that the tailor really fancies.,Who fancies someone?,the tailor,the greengrocer,the tailor,active,active,subjexp,fancy,3.89182029811063,3.89182029811063,1.4563022785571
N,7,That's the greengrocer that the tailor really bores.,Who bores someone?,the tailor,the greengrocer,the tailor,active,active,objexp,bore,-0.240279833557197,-0.240279833557197,0.256608581671832
O,7,That's the tailor that the greengrocer is really fancied by.,Who is fancied?,the greengrocer,the tailor,the greengrocer,passive,passive,subjexp,fancy,-3.89182029811063,-3.89182029811063,1.4563022785571
P,7,That's the tailor that the greengrocer is really bored by.,Who is bored?,the greengrocer,the tailor,the greengrocer,passive,passive,objexp,bore,0.240279833557197,0.240279833557197,0.256608581671832
A,8,That's the bellboy that the guest really bores.,Who is bored?,the guest,the bellboy,the bellboy,active,passive,objexp,bore,-0.240279833557197,0.240279833557197,0.256608581671832
B,8,That's the bellboy that the guest really fancies.,Who is fancied?,the guest,the bellboy,the bellboy,active,passive,subjexp,fancy,3.89182029811063,-3.89182029811063,1.4563022785571
C,8,That's the guest that the bellboy is really bored by.,Who bores someone?,the guest,the bellboy,the guest,passive,active,objexp,bore,0.240279833557197,-0.240279833557197,0.256608581671832
D,8,That's the guest that the bellboy is really fancied by.,Who fancies someone?,the guest,the bellboy,the guest,passive,active,subjexp,fancy,-3.89182029811063,3.89182029811063,1.4563022785571
E,8,That's the guest that the bellboy is really bored by.,Who is bored?,the bellboy,the guest,the bellboy,passive,passive,objexp,bore,0.240279833557197,0.240279833557197,0.256608581671832
F,8,That's the guest that the bellboy is really fancied by.,Who is fancied?,the bellboy,the guest,the bellboy,passive,passive,subjexp,fancy,-3.89182029811063,-3.89182029811063,1.4563022785571
G,8,That's the bellboy that the guest really bores.,Who bores someone?,the guest,the bellboy,the guest,active,active,objexp,bore,-0.240279833557197,-0.240279833557197,0.256608581671832
H,8,That's the bellboy that the guest really fancies.,Who fancies someone?,the guest,the bellboy,the guest,active,active,subjexp,fancy,3.89182029811063,3.89182029811063,1.4563022785571
I,8,That's the bellboy that the guest really bores.,Who is bored?,the bellboy,the guest,the bellboy,active,passive,objexp,bore,-0.240279833557197,0.240279833557197,0.256608581671832
J,8,That's the bellboy that the guest really fancies.,Who is fancied?,the bellboy,the guest,the bellboy,active,passive,subjexp,fancy,3.89182029811063,-3.89182029811063,1.4563022785571
K,8,That's the guest that the bellboy is really bored by.,Who bores someone?,the bellboy,the guest,the guest,passive,active,objexp,bore,0.240279833557197,-0.240279833557197,0.256608581671832
L,8,That's the guest that the bellboy is really fancied by.,Who fancies someone?,the bellboy,the guest,the guest,passive,active,subjexp,fancy,-3.89182029811063,3.89182029811063,1.4563022785571
M,8,That's the guest that the bellboy is really bored by.,Who is bored?,the guest,the bellboy,the bellboy,passive,passive,objexp,bore,0.240279833557197,0.240279833557197,0.256608581671832
N,8,That's the guest that the bellboy is really fancied by.,Who is fancied?,the guest,the bellboy,the bellboy,passive,passive,subjexp,fancy,-3.89182029811063,-3.89182029811063,1.4563022785571
O,8,That's the bellboy that the guest really bores.,Who bores someone?,the bellboy,the guest,the guest,active,active,objexp,bore,-0.240279833557197,-0.240279833557197,0.256608581671832
P,8,That's the bellboy that the guest really fancies.,Who fancies someone?,the bellboy,the guest,the guest,active,active,subjexp,fancy,3.89182029811063,3.89182029811063,1.4563022785571
A,9,That's the student that the teacher somewhat tolerates.,Who is tolerated?,the teacher,the student,the student,active,passive,subjexp,tolerate,1.91453502648756,-1.91453502648756,0.275519637109558
B,9,That's the student that the teacher somewhat terrifies.,Who is terrified?,the teacher,the student,the student,active,passive,objexp,terrify,-1.13707856949591,1.13707856949591,0.266161457905404
C,9,That's the student that the teacher somewhat tolerates.,Who tolerates someone?,the student,the teacher,the teacher,active,active,subjexp,tolerate,1.91453502648756,1.91453502648756,0.275519637109558
D,9,That's the student that the teacher somewhat terrifies.,Who terrifies someone?,the student,the teacher,the teacher,active,active,objexp,terrify,-1.13707856949591,-1.13707856949591,0.266161457905404
E,9,That's the teacher that the student is somewhat tolerated by.,Who is tolerated?,the teacher,the student,the student,passive,passive,subjexp,tolerate,-1.91453502648756,-1.91453502648756,0.275519637109558
F,9,That's the teacher that the student is somewhat terrified by.,Who is terrified?,the teacher,the student,the student,passive,passive,objexp,terrify,1.13707856949591,1.13707856949591,0.266161457905404
G,9,That's the teacher that the student is somewhat tolerated by.,Who tolerates someone?,the student,the teacher,the teacher,passive,active,subjexp,tolerate,-1.91453502648756,1.91453502648756,0.275519637109558
H,9,That's the teacher that the student is somewhat terrified by.,Who terrifies someone?,the student,the teacher,the teacher,passive,active,objexp,terrify,1.13707856949591,-1.13707856949591,0.266161457905404
I,9,That's the student that the teacher somewhat tolerates.,Who is tolerated?,the student,the teacher,the student,active,passive,subjexp,tolerate,1.91453502648756,-1.91453502648756,0.275519637109558
J,9,That's the student that the teacher somewhat terrifies.,Who is terrified?,the student,the teacher,the student,active,passive,objexp,terrify,-1.13707856949591,1.13707856949591,0.266161457905404
K,9,That's the student that the teacher somewhat tolerates.,Who tolerates someone?,the teacher,the student,the teacher,active,active,subjexp,tolerate,1.91453502648756,1.91453502648756,0.275519637109558
L,9,That's the student that the teacher somewhat terrifies.,Who terrifies someone?,the teacher,the student,the teacher,active,active,objexp,terrify,-1.13707856949591,-1.13707856949591,0.266161457905404
M,9,That's the teacher that the student is somewhat tolerated by.,Who is tolerated?,the student,the teacher,the student,passive,passive,subjexp,tolerate,-1.91453502648756,-1.91453502648756,0.275519637109558
N,9,That's the teacher that the student is somewhat terrified by.,Who is terrified?,the student,the teacher,the student,passive,passive,objexp,terrify,1.13707856949591,1.13707856949591,0.266161457905404
O,9,That's the teacher that the student is somewhat tolerated by.,Who tolerates someone?,the teacher,the student,the teacher,passive,active,subjexp,tolerate,-1.91453502648756,1.91453502648756,0.275519637109558
P,9,That's the teacher that the student is somewhat terrified by.,Who terrifies someone?,the teacher,the student,the teacher,passive,active,objexp,terrify,1.13707856949591,-1.13707856949591,0.266161457905404
A,10,That's the executive that the concierge is somewhat terrified by.,Who terrifies someone?,the executive,the concierge,the executive,passive,active,objexp,terrify,1.13707856949591,-1.13707856949591,0.266161457905404
B,10,That's the executive that the concierge is somewhat tolerated by.,Who tolerates someone?,the executive,the concierge,the executive,passive,active,subjexp,tolerate,-1.91453502648756,1.91453502648756,0.275519637109558
C,10,That's the executive that the concierge is somewhat terrified by.,Who is terrified?,the concierge,the executive,the concierge,passive,passive,objexp,terrify,1.13707856949591,1.13707856949591,0.266161457905404
D,10,That's the executive that the concierge is somewhat tolerated by.,Who is tolerated?,the concierge,the executive,the concierge,passive,passive,subjexp,tolerate,-1.91453502648756,-1.91453502648756,0.275519637109558
E,10,That's the concierge that the executive somewhat terrifies.,Who terrifies someone?,the executive,the concierge,the executive,active,active,objexp,terrify,-1.13707856949591,-1.13707856949591,0.266161457905404
F,10,That's the concierge that the executive somewhat tolerates.,Who tolerates someone?,the executive,the concierge,the executive,active,active,subjexp,tolerate,1.91453502648756,1.91453502648756,0.275519637109558
G,10,That's the concierge that the executive somewhat terrifies.,Who is terrified?,the concierge,the executive,the concierge,active,passive,objexp,terrify,-1.13707856949591,1.13707856949591,0.266161457905404
H,10,That's the concierge that the executive somewhat tolerates.,Who is tolerated?,the concierge,the executive,the concierge,active,passive,subjexp,tolerate,1.91453502648756,-1.91453502648756,0.275519637109558
I,10,That's the executive that the concierge is somewhat terrified by.,Who terrifies someone?,the concierge,the executive,the executive,passive,active,objexp,terrify,1.13707856949591,-1.13707856949591,0.266161457905404
